timestamp,vehicle
1655485200000,1012
1655488800000,19
1655769600000,139
1655827200000,477
1655830800000,1352
1655834400000,1361
1655838000000,1162
1655841600000,889
1655845200000,581
1655848800000,423
1655852400000,321
1655856000000,256
1655859600000,71
1655863200000,44
1655866800000,28
1655870400000,28
1655874000000,54
1655877600000,112
1655881200000,559
1655884800000,1041
1655888400000,986
1655892000000,895
1655895600000,874
1655899200000,1051
1655902800000,1002
1655906400000,1039
1655910000000,1097
1655913600000,1178
1655917200000,1304
1655920800000,1414
1655924400000,1235
1655928000000,956
1655931600000,649
1655935200000,470
1655938800000,309
1655942400000,298
1655946000000,103
1655949600000,50
1655953200000,24
1655956800000,28
1655960400000,54
1655964000000,129
1655967600000,614
1655971200000,1064
1655974800000,825
1655978400000,757
1655982000000,704
1655985600000,930
1655989200000,986
1655992800000,1042
1655996400000,1048
1656000000000,1138
1656003600000,1272
1656007200000,1372
1656010800000,1252
1656014400000,856
1656018000000,630
1656021600000,560
1656025200000,411
1656028800000,316
1656032400000,140
1656036000000,88
1656039600000,51
1656043200000,58
1656046800000,82
1656050400000,143
1656054000000,618
1656057600000,1096
1656061200000,946
1656064800000,795
1656068400000,808
1656072000000,1013
1656075600000,948
1656079200000,1079
1656082800000,1109
1656086400000,1197
1656090000000,1372
1656093600000,1398
1656097200000,1231
1656100800000,969
1656104400000,645
1656108000000,580
1656111600000,431
1656115200000,326
1656118800000,155
1656122400000,112
1656126000000,63
1656129600000,57
1656133200000,70
1656136800000,97
1656140400000,250
1656144000000,445
1656147600000,665
1656151200000,755
1656154800000,885
1656158400000,965
1656162000000,791
1656165600000,783
1656169200000,907
1656172800000,852
1656176400000,828
1656180000000,840
1656183600000,845
1656187200000,726
1656190800000,635
1656194400000,545
1656198000000,473
1656201600000,159
1656205200000,210
1656208800000,128
1656212400000,87
1656216000000,59
1656219600000,63
1656223200000,72
1656226800000,200
1656230400000,265
1656234000000,478
1656237600000,599
1656241200000,787
1656244800000,912
1656248400000,668
1656252000000,727
1656255600000,1009
1656259200000,1021
1656262800000,1030
1656266400000,961
1656270000000,910
1656273600000,761
1656277200000,600
1656280800000,443
1656284400000,244
1656288000000,135
1656291600000,59
1656295200000,44
1656298800000,25
1656302400000,28
1656306000000,63
1656309600000,130
1656313200000,603
1656316800000,1121
1656320400000,1225
1656324000000,860
1656327600000,922
1656331200000,1080
1656334800000,1030
1656338400000,1208
1656342000000,1043
1656349200000,552
1656352800000,1355
1656356400000,1191
1656360000000,875
1656363600000,588
1656367200000,461
1656370800000,255
1656374400000,192
1656378000000,77
1656381600000,56
1656385200000,24
1656388800000,26
1656392400000,51
1656396000000,142
1656399600000,616
1656403200000,1087
1656406800000,1170
1656410400000,920
1656414000000,934
1656417600000,943
1656421200000,1005
1656424800000,1048
1656428400000,991
1656432000000,1113
1656435600000,1321
1656439200000,1345
1656442800000,1234
1656446400000,874
1656450000000,605
1656453600000,435
1656457200000,302
1656460800000,172
1656464400000,74
1656468000000,60
1656471600000,38
1656475200000,42
1656478800000,62
1656482400000,127
1656486000000,593
1656489600000,1106
1656493200000,1099
1656496800000,897
1656500400000,826
1656504000000,1035
1656507600000,985
1656511200000,1057
1656514800000,1012
