dt,weather
1654041600,Clouds
1654045200,Clouds
1654048800,Clouds
1654052400,Rain
1654056000,Clouds
1654059600,Rain
1654063200,Clouds
1654066800,Clouds
1654070400,Clouds
1654074000,Clouds
1654077600,Clouds
1654081200,Clouds
1654084800,Rain
1654088400,Rain
1654092000,Clouds
1654095600,Clouds
1654099200,Clouds
1654102800,Clouds
1654106400,Clouds
1654110000,Clouds
1654113600,Clouds
1654117200,Clouds
1654120800,Clouds
1654124400,Clouds
1654128000,Clouds
1654128000,Clouds
1654131600,Clouds
1654135200,Clouds
1654138800,Clouds
1654142400,Clouds
1654146000,Clouds
1654149600,Clouds
1654153200,Clear
1654156800,Clouds
1654160400,Clouds
1654164000,Clouds
1654167600,Clouds
1654171200,Clouds
1654174800,Clouds
1654178400,Clouds
1654182000,Clouds
1654185600,Clouds
1654189200,Clouds
1654192800,Clouds
1654196400,Clouds
1654200000,Clouds
1654203600,Clouds
1654207200,Clouds
1654210800,Clouds
1654214400,Clouds
1654214400,Clouds
1654218000,Clear
1654221600,Clear
1654225200,Clear
1654228800,Clear
1654232400,Clear
1654236000,Clear
1654239600,Clear
1654243200,Clear
1654246800,Clear
1654250400,Clear
1654254000,Clear
1654257600,Clouds
1654261200,Clouds
1654264800,Clouds
1654268400,Clouds
1654272000,Clouds
1654275600,Clouds
1654279200,Clouds
1654282800,Clouds
1654286400,Clouds
1654290000,Clear
1654293600,Clear
1654297200,Clouds
1654300800,Rain
1654300800,Rain
1654304400,Rain
1654308000,Clouds
1654311600,Clear
1654315200,Clear
1654318800,Clear
1654322400,Clouds
1654326000,Clear
1654329600,Clear
1654333200,Clear
1654336800,Clear
1654340400,Clouds
1654344000,Clouds
1654347600,Clouds
1654351200,Clouds
1654354800,Clouds
1654358400,Clouds
1654362000,Clouds
1654365600,Clouds
1654369200,Clouds
1654372800,Clouds
1654376400,Clear
1654380000,Clear
1654383600,Clear
1654387200,Clear
1654387200,Clear
1654390800,Clear
1654394400,Clouds
1654398000,Clouds
1654401600,Clouds
1654405200,Clouds
1654408800,Clouds
1654412400,Clouds
1654416000,Clouds
1654419600,Clouds
1654423200,Clouds
1654426800,Clouds
1654430400,Clouds
1654434000,Clouds
1654437600,Clouds
1654441200,Clouds
1654444800,Clouds
1654448400,Clouds
1654452000,Clouds
1654455600,Clouds
1654459200,Clouds
1654462800,Clouds
1654466400,Clouds
1654470000,Clouds
1654473600,Clouds
1654473600,Clouds
1654477200,Clouds
1654480800,Clouds
1654484400,Clouds
1654488000,Clouds
1654491600,Clouds
1654495200,Clouds
1654498800,Clouds
1654502400,Clouds
1654506000,Clouds
1654509600,Clouds
1654513200,Clouds
1654516800,Clouds
1654520400,Clouds
1654524000,Clouds
1654527600,Clouds
1654531200,Clouds
1654534800,Clouds
1654538400,Clouds
1654542000,Clouds
1654545600,Clouds
1654549200,Clouds
1654552800,Clouds
1654556400,Clouds
1654560000,Clouds
1654560000,Clouds
1654563600,Clouds
1654567200,Clouds
1654570800,Clouds
1654574400,Clouds
1654578000,Clouds
1654581600,Clouds
1654585200,Clouds
1654588800,Clouds
1654592400,Clouds
1654596000,Clouds
1654599600,Clouds
1654603200,Clouds
1654606800,Clear
1654610400,Clear
1654614000,Clear
1654617600,Clear
1654621200,Clouds
1654624800,Clouds
1654628400,Clouds
1654632000,Clouds
1654635600,Clouds
1654639200,Clouds
1654642800,Clouds
1654646400,Clouds
1654646400,Clouds
1654650000,Clouds
1654653600,Clouds
1654657200,Clouds
1654660800,Clouds
1654664400,Clouds
1654668000,Clouds
1654671600,Clouds
1654675200,Clouds
1654678800,Clouds
1654682400,Clouds
1654686000,Clouds
1654689600,Clouds
1654693200,Clouds
1654696800,Clouds
1654700400,Clouds
1654704000,Clouds
1654707600,Clouds
1654711200,Clouds
1654714800,Clouds
1654718400,Clouds
1654722000,Clouds
1654725600,Clouds
1654729200,Clouds
1654732800,Clouds
1654732800,Clouds
1654736400,Clouds
1654740000,Clouds
1654743600,Clouds
1654747200,Clouds
1654750800,Clouds
1654754400,Clouds
1654758000,Clouds
1654761600,Clouds
1654765200,Clouds
1654768800,Clouds
1654772400,Clouds
1654776000,Clouds
1654779600,Clouds
1654783200,Clouds
1654786800,Clouds
1654790400,Clouds
1654794000,Clouds
1654797600,Clouds
1654801200,Clouds
1654804800,Clouds
1654808400,Clouds
1654812000,Clouds
1654815600,Clouds
1654819200,Clouds
1654819200,Clouds
1654822800,Clouds
1654826400,Clouds
1654830000,Clouds
1654833600,Clouds
1654837200,Clouds
1654840800,Clouds
1654844400,Clouds
1654848000,Clouds
1654851600,Clouds
1654855200,Clouds
1654858800,Clouds
1654862400,Clouds
1654866000,Clear
1654869600,Clear
1654873200,Clear
1654876800,Clear
1654880400,Clear
1654884000,Clear
1654887600,Clear
1654891200,Clear
1654894800,Clear
1654898400,Clear
1654902000,Clear
1654905600,Clear
1654905600,Clear
1654909200,Clear
1654912800,Clear
1654916400,Clouds
1654920000,Clouds
1654923600,Clouds
1654927200,Clouds
1654930800,Clear
1654934400,Clear
1654938000,Clouds
1654941600,Clouds
1654945200,Clouds
1654948800,Clouds
1654952400,Clouds
1654956000,Clouds
1654959600,Clear
1654963200,Clear
1654966800,Clear
1654970400,Clear
1654974000,Clear
1654977600,Clear
1654981200,Clear
1654984800,Clear
1654988400,Clear
1654992000,Clear
1654992000,Clear
1654995600,Clear
1654999200,Clear
1655002800,Clear
1655006400,Clear
1655010000,Clear
1655013600,Clear
1655017200,Clear
1655020800,Clear
1655024400,Clear
1655028000,Clear
1655031600,Clear
1655035200,Clear
1655038800,Clouds
1655042400,Clouds
1655046000,Clouds
1655049600,Clouds
1655053200,Clouds
1655056800,Clouds
1655060400,Clear
1655064000,Clear
1655067600,Clear
1655071200,Clear
1655074800,Clear
1655078400,Clear
1655078400,Clear
1655082000,Clear
1655085600,Clear
1655089200,Clear
1655092800,Clear
1655096400,Clear
1655100000,Clear
1655103600,Clear
1655107200,Clouds
1655110800,Clouds
1655114400,Clear
1655118000,Clear
1655121600,Clouds
1655125200,Clouds
1655128800,Clouds
1655132400,Clouds
1655136000,Clouds
1655139600,Clouds
1655143200,Clouds
1655146800,Clouds
1655150400,Clouds
1655154000,Clouds
1655157600,Clouds
1655161200,Clouds
1655164800,Clouds
1655164800,Clouds
1655168400,Clouds
1655172000,Clouds
1655175600,Clouds
1655179200,Clouds
1655182800,Clouds
1655186400,Clouds
1655190000,Clouds
1655193600,Clouds
1655197200,Clouds
1655200800,Clouds
1655204400,Clouds
1655208000,Clouds
1655211600,Clouds
1655215200,Clouds
1655218800,Clouds
1655222400,Clouds
1655226000,Clouds
1655229600,Clouds
1655233200,Clouds
1655236800,Clouds
1655240400,Clouds
1655244000,Clouds
1655247600,Clear
1655251200,Clear
1655251200,Clear
1655254800,Clear
1655258400,Clear
1655262000,Clear
1655265600,Clouds
1655269200,Rain
1655272800,Clouds
1655276400,Clouds
1655280000,Clouds
1655283600,Clouds
1655287200,Clouds
1655290800,Clouds
1655294400,Clouds
1655298000,Clouds
1655301600,Clouds
1655305200,Clouds
1655308800,Clouds
1655312400,Clouds
1655316000,Rain
1655319600,Clouds
1655323200,Clouds
1655326800,Clouds
1655330400,Clouds
1655334000,Clouds
1655337600,Clouds
1655337600,Clouds
1655341200,Clouds
1655344800,Clouds
1655348400,Clouds
1655352000,Clouds
1655355600,Clouds
1655359200,Clouds
1655362800,Clouds
1655366400,Clouds
1655370000,Clouds
1655373600,Rain
1655377200,Clouds
1655380800,Rain
1655384400,Clouds
1655388000,Clouds
1655391600,Rain
1655395200,Clouds
1655398800,Clouds
1655402400,Clouds
1655406000,Clouds
1655409600,Clouds
1655413200,Clouds
1655416800,Clouds
1655420400,Clouds
1655424000,Clouds
1655424000,Clouds
1655427600,Clouds
1655431200,Clouds
1655434800,Clouds
1655438400,Clouds
1655442000,Clouds
1655445600,Clouds
1655449200,Clouds
1655452800,Clouds
1655456400,Clouds
1655460000,Clouds
1655463600,Clouds
1655467200,Clouds
1655470800,Clouds
1655474400,Clouds
1655478000,Clouds
1655481600,Clouds
1655485200,Clouds
1655488800,Clouds
1655492400,Clouds
1655496000,Clouds
1655499600,Clouds
1655503200,Clouds
1655506800,Clouds
1655510400,Clouds
1655510400,Clouds
1655514000,Clouds
1655517600,Clouds
1655521200,Clouds
1655524800,Clouds
1655528400,Clouds
1655532000,Clouds
1655535600,Clouds
1655539200,Clouds
1655542800,Clouds
1655546400,Clouds
1655550000,Clouds
1655553600,Clouds
1655557200,Clouds
1655560800,Clouds
1655564400,Clouds
1655568000,Clouds
1655571600,Rain
1655575200,Clouds
1655578800,Clouds
1655582400,Clouds
1655586000,Clouds
1655589600,Clouds
1655593200,Clouds
1655596800,Clouds
1655596800,Clouds
1655600400,Clouds
1655604000,Clouds
1655607600,Clouds
1655611200,Clouds
1655614800,Clouds
1655618400,Clouds
1655622000,Clouds
1655625600,Clouds
1655629200,Clouds
1655632800,Clouds
1655636400,Clouds
1655640000,Clouds
1655643600,Clouds
1655647200,Clouds
1655650800,Clouds
1655654400,Clouds
1655658000,Clouds
1655661600,Clouds
1655665200,Clouds
1655668800,Clouds
1655672400,Clouds
1655676000,Clouds
1655679600,Clouds
1655683200,Clouds
1655683200,Clouds
1655686800,Clouds
1655690400,Clouds
1655694000,Clouds
1655697600,Clouds
1655701200,Clouds
1655704800,Clouds
1655708400,Clouds
1655712000,Clouds
1655715600,Clouds
1655719200,Clouds
1655722800,Clouds
1655726400,Clouds
1655730000,Clouds
1655733600,Clouds
1655737200,Clouds
1655740800,Clouds
1655744400,Clouds
1655748000,Clouds
1655751600,Clouds
1655755200,Clouds
1655758800,Clouds
1655762400,Clouds
1655766000,Clouds
1655769600,Clouds
1655769600,Clouds
1655773200,Clouds
1655776800,Clouds
1655780400,Clouds
1655784000,Clouds
1655787600,Clouds
1655791200,Clouds
1655794800,Clouds
1655798400,Clouds
1655802000,Clouds
1655805600,Clouds
1655809200,Clouds
1655812800,Clouds
1655816400,Clouds
1655820000,Clouds
1655823600,Clouds
1655827200,Clouds
1655830800,Clouds
1655834400,Clouds
1655838000,Clouds
1655841600,Clouds
1655845200,Clouds
1655848800,Clouds
1655852400,Rain
1655856000,Rain
1655856000,Rain
1655859600,Clouds
1655863200,Clouds
1655866800,Clouds
1655870400,Clouds
1655874000,Clouds
1655877600,Clouds
1655881200,Clouds
1655884800,Clouds
1655888400,Clouds
1655892000,Clouds
1655895600,Clouds
1655899200,Clouds
1655902800,Clouds
1655906400,Clouds
1655910000,Clouds
1655913600,Clouds
1655917200,Clouds
1655920800,Clouds
1655924400,Clouds
1655928000,Clouds
1655931600,Clouds
1655935200,Clouds
1655938800,Clouds
1655942400,Clouds
1655942400,Clouds
1655946000,Clouds
1655949600,Clouds
1655953200,Clouds
1655956800,Clouds
1655960400,Clouds
1655964000,Clouds
1655967600,Clouds
1655971200,Rain
1655974800,Rain
1655978400,Clouds
1655982000,Clouds
1655985600,Clouds
1655989200,Clouds
1655992800,Clouds
1655996400,Clouds
1656000000,Clouds
1656003600,Clouds
1656007200,Clouds
1656010800,Clouds
1656014400,Clouds
1656018000,Clouds
1656021600,Clouds
1656025200,Clouds
1656028800,Clear
1656028800,Clear
1656032400,Clear
1656036000,Clear
1656039600,Clear
1656043200,Clouds
1656046800,Clouds
1656050400,Clouds
1656054000,Clouds
1656057600,Clouds
1656061200,Clouds
1656064800,Clouds
1656068400,Clouds
1656072000,Clouds
1656075600,Clouds
1656079200,Clouds
1656082800,Clouds
1656086400,Clouds
1656090000,Clouds
1656093600,Clouds
1656097200,Clouds
1656100800,Clouds
1656104400,Clouds
1656108000,Clouds
1656111600,Clouds
1656115200,Rain
1656115200,Rain
1656118800,Clouds
1656122400,Clouds
1656126000,Clouds
1656129600,Clouds
1656133200,Clouds
1656136800,Clouds
1656140400,Clouds
1656144000,Clouds
1656147600,Clouds
1656151200,Clouds
1656154800,Clouds
1656158400,Clouds
1656162000,Clear
1656165600,Clear
1656169200,Clear
1656172800,Clear
1656176400,Clear
1656180000,Clear
1656183600,Clouds
1656187200,Clouds
1656190800,Clouds
1656194400,Clouds
1656198000,Clouds
1656201600,Clouds
1656201600,Clouds
1656205200,Clear
1656208800,Clear
1656212400,Clear
1656216000,Clouds
1656219600,Clouds
