                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8664,                 3.9176,                 4.2072,                 0.0018,                0.21818,                 0.0018,                0.00058,                 3.6816,                   3.99,                 4.0736,                 0.0739,                 0.0029,                 0.0029
                      1,                 3.7908,                 3.7789,                 4.1166,                0.00188,                0.22727,                0.00191,                0.00059,                  3.618,                 3.9494,                 4.0029,               0.046842,              0.0058416,              0.0058416
                      2,                 3.6526,                 3.6547,                 3.9889,                0.00198,                0.23939,                0.00195,                 0.0006,                 3.5991,                 3.9029,                 3.9708,               0.019724,              0.0087238,              0.0087238
                      3,                 3.5017,                 3.4783,                 3.8559,                0.00313,                0.34848,                0.00284,                0.00074,                 3.4946,                 3.7537,                 3.8973,               0.009703,               0.009703,               0.009703
                      4,                 3.2735,                 3.3168,                 3.5457,                0.02388,                0.06667,                 0.0071,                0.00211,                 3.2392,                  4.342,                 4.5484,               0.009703,               0.009703,               0.009703
                      5,                 3.0736,                 3.1709,                 3.3311,                0.00765,                0.06364,                0.00391,                0.00129,                 3.0693,                  33.53,                 4.3306,               0.009604,               0.009604,               0.009604
                      6,                 2.9917,                 3.0614,                   3.17,                0.02485,                0.11515,                0.01112,                0.00329,                 3.0848,                 20.732,                 3.9615,               0.009505,               0.009505,               0.009505
                      7,                   2.91,                 2.9951,                 3.0363,                 0.0269,                0.02424,                0.00696,                0.00239,                 3.1679,                 4.2743,                 3.9364,               0.009406,               0.009406,               0.009406
                      8,                 2.7402,                 2.8976,                 2.9491,                0.02077,                0.09091,                0.00904,                0.00297,                 3.0584,                 80.239,                 4.2623,               0.009307,               0.009307,               0.009307
                      9,                  2.665,                 2.7918,                 2.8105,                0.08972,                0.15455,                0.03372,                0.01061,                 2.7743,                  6.998,                 3.1225,               0.009208,               0.009208,               0.009208
                     10,                 2.5389,                 2.6289,                 2.7504,                0.20378,                0.20909,                0.11377,                0.03971,                 2.4916,                 4.3377,                 2.7983,               0.009109,               0.009109,               0.009109
                     11,                 2.5993,                 2.6633,                 2.7467,                0.16911,                0.24242,                0.09748,                0.03117,                 2.4993,                 4.8651,                  2.775,                0.00901,                0.00901,                0.00901
                     12,                 2.4445,                 2.5667,                 2.6333,                0.19202,                0.20303,                 0.1357,                0.05432,                 2.3389,                  3.598,                 2.6251,               0.008911,               0.008911,               0.008911
                     13,                 2.4171,                 2.4492,                 2.5523,                0.18428,                0.22424,                0.13702,                 0.0563,                 2.4024,                 3.3843,                 2.6264,               0.008812,               0.008812,               0.008812
                     14,                 2.3021,                 2.4164,                 2.5045,                0.34603,                0.31427,                0.25366,                0.09839,                 2.3071,                 2.5709,                 2.5504,               0.008713,               0.008713,               0.008713
                     15,                 2.2518,                 2.2816,                 2.4484,                0.22775,                 0.2136,                0.12529,                0.05064,                 2.3505,                 2.7882,                 2.6205,               0.008614,               0.008614,               0.008614
                     16,                 2.1641,                  2.232,                 2.3614,                0.29728,                0.25455,                 0.2301,                0.09358,                  2.173,                 2.4584,                  2.447,               0.008515,               0.008515,               0.008515
                     17,                 2.1523,                 2.1723,                  2.327,                0.38852,                0.34464,                  0.335,                0.14451,                 2.0924,                 2.1377,                 2.3605,               0.008416,               0.008416,               0.008416
